500: {'accuracy': 0.754}, num_failures: 1158
500: {'accuracy': 0.744}, num_failures: 1115
500: {'accuracy': 0.8993333333333333}, num_failures: 908
500: {'accuracy': 0.7526666666666667}, num_failures: 980
500: {'accuracy': 0.8906666666666667}, num_failures: 795
500: {'accuracy': 0.774}, num_failures: 782
500: {'accuracy': 0.75}, num_failures: 957
500: {'accuracy': 0.7853333333333333}, num_failures: 918
500: {'accuracy': 0.7593333333333333}, num_failures: 1040
500: {'accuracy': 0.7506666666666667}, num_failures: 862
500: {'accuracy': 0.7366666666666667}, num_failures: 999
500: {'accuracy': 0.7646666666666667}, num_failures: 967
500: {'accuracy': 0.9186666666666666}, num_failures: 811
