500: {'accuracy': 0.764}, num_failures: 3021
500: {'accuracy': 0.752}, num_failures: 2864
500: {'accuracy': 0.746}, num_failures: 2278
500: {'accuracy': 0.9193333333333333}, num_failures: 2412
500: {'accuracy': 0.76}, num_failures: 2130
500: {'accuracy': 0.768}, num_failures: 2074
500: {'accuracy': 0.7646666666666667}, num_failures: 2897
500: {'accuracy': 0.9506666666666667}, num_failures: 2165
500: {'accuracy': 0.9306666666666666}, num_failures: 2484
500: {'accuracy': 0.904}, num_failures: 2216
500: {'accuracy': 0.7406666666666667}, num_failures: 2498
500: {'accuracy': 0.9133333333333333}, num_failures: 2330
500: {'accuracy': 0.77}, num_failures: 2031
