500: {'accuracy': 0.932}, num_failures: 23
500: {'accuracy': 0.7546666666666667}, num_failures: 18
500: {'accuracy': 0.9066666666666666}, num_failures: 25
500: {'accuracy': 0.7826666666666666}, num_failures: 13
500: {'accuracy': 0.7506666666666667}, num_failures: 23
500: {'accuracy': 0.7706666666666667}, num_failures: 36
500: {'accuracy': 0.7706666666666667}, num_failures: 19
500: {'accuracy': 0.7813333333333333}, num_failures: 36
500: {'accuracy': 0.764}, num_failures: 31
500: {'accuracy': 0.7493333333333333}, num_failures: 19
500: {'accuracy': 0.7626666666666667}, num_failures: 24
500: {'accuracy': 0.9213333333333333}, num_failures: 11
500: {'accuracy': 0.7853333333333333}, num_failures: 16
500: {'accuracy': 0.7706666666666667}, num_failures: 22
500: {'accuracy': 0.7773333333333333}, num_failures: 30
500: {'accuracy': 0.7426666666666667}, num_failures: 17
500: {'accuracy': 0.768}, num_failures: 15
500: {'accuracy': 0.9173333333333333}, num_failures: 15
500: {'accuracy': 0.76}, num_failures: 19
500: {'accuracy': 0.764}, num_failures: 29
500: {'accuracy': 0.924}, num_failures: 21
500: {'accuracy': 0.7773333333333333}, num_failures: 29
500: {'accuracy': 0.7733333333333333}, num_failures: 11
500: {'accuracy': 0.7786666666666666}, num_failures: 37
500: {'accuracy': 0.7786666666666666}, num_failures: 25
500: {'accuracy': 0.7653333333333333}, num_failures: 17
500: {'accuracy': 0.744}, num_failures: 30
500: {'accuracy': 0.812}, num_failures: 24
500: {'accuracy': 0.7826666666666666}, num_failures: 38
500: {'accuracy': 0.9466666666666667}, num_failures: 26
500: {'accuracy': 0.7693333333333333}, num_failures: 33
500: {'accuracy': 0.7653333333333333}, num_failures: 33
500: {'accuracy': 0.7746666666666666}, num_failures: 9
500: {'accuracy': 0.8746666666666667}, num_failures: 13
500: {'accuracy': 0.9293333333333333}, num_failures: 18
500: {'accuracy': 0.788}, num_failures: 28
500: {'accuracy': 0.8773333333333333}, num_failures: 22
