500: {'accuracy': 0.9706666666666667}, num_failures: 2157
500: {'accuracy': 0.9106666666666666}, num_failures: 2425
500: {'accuracy': 0.8986666666666666}, num_failures: 2193
500: {'accuracy': 0.792}, num_failures: 2132
500: {'accuracy': 0.7573333333333333}, num_failures: 2245
500: {'accuracy': 0.784}, num_failures: 1871
500: {'accuracy': 0.9093333333333333}, num_failures: 2050
500: {'accuracy': 0.936}, num_failures: 2852
500: {'accuracy': 0.768}, num_failures: 2395
500: {'accuracy': 0.948}, num_failures: 2173
500: {'accuracy': 0.8}, num_failures: 2160
500: {'accuracy': 0.728}, num_failures: 1884
500: {'accuracy': 0.784}, num_failures: 2331
500: {'accuracy': 0.9466666666666667}, num_failures: 2378
500: {'accuracy': 0.8}, num_failures: 2279
500: {'accuracy': 0.7146666666666667}, num_failures: 1173
500: {'accuracy': 0.9266666666666666}, num_failures: 2464
500: {'accuracy': 0.844}, num_failures: 1747
500: {'accuracy': 0.7453333333333333}, num_failures: 2026
500: {'accuracy': 0.7666666666666667}, num_failures: 1952
500: {'accuracy': 0.9413333333333334}, num_failures: 2359
500: {'accuracy': 0.7826666666666666}, num_failures: 2249
500: {'accuracy': 0.9213333333333333}, num_failures: 1405
500: {'accuracy': 0.944}, num_failures: 2352
500: {'accuracy': 0.796}, num_failures: 2929
500: {'accuracy': 0.7253333333333334}, num_failures: 2206
500: {'accuracy': 0.768}, num_failures: 2461
500: {'accuracy': 0.7973333333333333}, num_failures: 2612
500: {'accuracy': 0.78}, num_failures: 2257
500: {'accuracy': 0.7786666666666666}, num_failures: 2723
500: {'accuracy': 0.876}, num_failures: 1833
500: {'accuracy': 0.9093333333333333}, num_failures: 2078
500: {'accuracy': 0.7893333333333333}, num_failures: 2048
500: {'accuracy': 0.8586666666666667}, num_failures: 2029
500: {'accuracy': 0.7773333333333333}, num_failures: 1966
500: {'accuracy': 0.7626666666666667}, num_failures: 2534
500: {'accuracy': 0.888}, num_failures: 1939
500: {'accuracy': 0.7426666666666667}, num_failures: 1970
