500: {'accuracy': 0.776}, num_failures: 30
500: {'accuracy': 0.9106666666666666}, num_failures: 21
500: {'accuracy': 0.9093333333333333}, num_failures: 27
500: {'accuracy': 0.912}, num_failures: 17
500: {'accuracy': 0.7306666666666667}, num_failures: 23
500: {'accuracy': 0.7893333333333333}, num_failures: 27
500: {'accuracy': 0.9146666666666666}, num_failures: 22
500: {'accuracy': 0.9426666666666667}, num_failures: 33
500: {'accuracy': 0.9026666666666666}, num_failures: 26
500: {'accuracy': 0.9293333333333333}, num_failures: 27
500: {'accuracy': 0.7826666666666666}, num_failures: 30
500: {'accuracy': 0.9346666666666666}, num_failures: 23
500: {'accuracy': 0.7933333333333333}, num_failures: 20
500: {'accuracy': 0.7866666666666666}, num_failures: 23
500: {'accuracy': 0.9386666666666666}, num_failures: 31
500: {'accuracy': 0.748}, num_failures: 8
500: {'accuracy': 0.7813333333333333}, num_failures: 28
500: {'accuracy': 0.7586666666666667}, num_failures: 20
500: {'accuracy': 0.7346666666666667}, num_failures: 14
500: {'accuracy': 0.76}, num_failures: 24
500: {'accuracy': 0.792}, num_failures: 22
500: {'accuracy': 0.772}, num_failures: 31
500: {'accuracy': 0.7786666666666666}, num_failures: 14
500: {'accuracy': 0.784}, num_failures: 42
500: {'accuracy': 0.796}, num_failures: 18
500: {'accuracy': 0.7626666666666667}, num_failures: 20
500: {'accuracy': 0.744}, num_failures: 37
500: {'accuracy': 0.928}, num_failures: 23
500: {'accuracy': 0.9173333333333333}, num_failures: 30
500: {'accuracy': 0.7706666666666667}, num_failures: 33
500: {'accuracy': 0.78}, num_failures: 20
500: {'accuracy': 0.8}, num_failures: 22
500: {'accuracy': 0.9573333333333334}, num_failures: 15
500: {'accuracy': 0.8653333333333333}, num_failures: 13
500: {'accuracy': 0.7613333333333333}, num_failures: 26
500: {'accuracy': 0.756}, num_failures: 24
500: {'accuracy': 0.7346666666666667}, num_failures: 18
