500: {'accuracy': 0.7813333333333333}, num_failures: 0
500: {'accuracy': 0.7373333333333333}, num_failures: 0
500: {'accuracy': 0.7773333333333333}, num_failures: 0
500: {'accuracy': 0.7573333333333333}, num_failures: 0
500: {'accuracy': 0.928}, num_failures: 0
500: {'accuracy': 0.9373333333333334}, num_failures: 0
500: {'accuracy': 0.764}, num_failures: 0
500: {'accuracy': 0.756}, num_failures: 0
500: {'accuracy': 0.7586666666666667}, num_failures: 0
500: {'accuracy': 0.804}, num_failures: 0
500: {'accuracy': 0.7733333333333333}, num_failures: 0
500: {'accuracy': 0.78}, num_failures: 0
500: {'accuracy': 0.9066666666666666}, num_failures: 0
500: {'accuracy': 0.7933333333333333}, num_failures: 0
500: {'accuracy': 0.748}, num_failures: 0
500: {'accuracy': 0.752}, num_failures: 0
500: {'accuracy': 0.9146666666666666}, num_failures: 0
500: {'accuracy': 0.7986666666666666}, num_failures: 0
