500: {'accuracy': 0.8093333333333333}, num_failures: 0
500: {'accuracy': 0.748}, num_failures: 0
500: {'accuracy': 0.968}, num_failures: 0
500: {'accuracy': 0.9106666666666666}, num_failures: 0
500: {'accuracy': 0.9506666666666667}, num_failures: 0
500: {'accuracy': 0.7466666666666667}, num_failures: 0
500: {'accuracy': 0.7613333333333333}, num_failures: 0
500: {'accuracy': 0.9186666666666666}, num_failures: 0
500: {'accuracy': 0.748}, num_failures: 0
500: {'accuracy': 0.7933333333333333}, num_failures: 0
500: {'accuracy': 0.7573333333333333}, num_failures: 0
500: {'accuracy': 0.96}, num_failures: 0
500: {'accuracy': 0.912}, num_failures: 0
500: {'accuracy': 0.9373333333333334}, num_failures: 0
500: {'accuracy': 0.7733333333333333}, num_failures: 0
500: {'accuracy': 0.912}, num_failures: 0
500: {'accuracy': 0.9093333333333333}, num_failures: 0
500: {'accuracy': 0.928}, num_failures: 0
