500: {'accuracy': 0.9053333333333333}, num_failures: 0
500: {'accuracy': 0.7613333333333333}, num_failures: 0
500: {'accuracy': 0.7866666666666666}, num_failures: 0
500: {'accuracy': 0.9253333333333333}, num_failures: 0
500: {'accuracy': 0.756}, num_failures: 0
500: {'accuracy': 0.7826666666666666}, num_failures: 0
500: {'accuracy': 0.9293333333333333}, num_failures: 0
500: {'accuracy': 0.7573333333333333}, num_failures: 0
500: {'accuracy': 0.92}, num_failures: 0
500: {'accuracy': 0.776}, num_failures: 0
500: {'accuracy': 0.736}, num_failures: 0
500: {'accuracy': 0.772}, num_failures: 0
500: {'accuracy': 0.76}, num_failures: 0
500: {'accuracy': 0.9666666666666667}, num_failures: 0
500: {'accuracy': 0.796}, num_failures: 0
500: {'accuracy': 0.7266666666666667}, num_failures: 0
500: {'accuracy': 0.7666666666666667}, num_failures: 0
500: {'accuracy': 0.7906666666666666}, num_failures: 0
