500: {'accuracy': 0.8773333333333333}, num_failures: 1250
500: {'accuracy': 0.9266666666666666}, num_failures: 1323
500: {'accuracy': 0.904}, num_failures: 1196
500: {'accuracy': 0.944}, num_failures: 1042
500: {'accuracy': 0.728}, num_failures: 1216
500: {'accuracy': 0.772}, num_failures: 1462
500: {'accuracy': 0.7466666666666667}, num_failures: 1115
500: {'accuracy': 0.7666666666666667}, num_failures: 1871
500: {'accuracy': 0.7826666666666666}, num_failures: 1241
500: {'accuracy': 0.764}, num_failures: 1133
500: {'accuracy': 0.956}, num_failures: 1322
500: {'accuracy': 0.9706666666666667}, num_failures: 891
500: {'accuracy': 0.9253333333333333}, num_failures: 1094
500: {'accuracy': 0.9493333333333334}, num_failures: 1422
500: {'accuracy': 0.808}, num_failures: 1433
500: {'accuracy': 0.7253333333333334}, num_failures: 817
500: {'accuracy': 0.7826666666666666}, num_failures: 1418
500: {'accuracy': 0.76}, num_failures: 967
500: {'accuracy': 0.7306666666666667}, num_failures: 1250
500: {'accuracy': 0.76}, num_failures: 1267
500: {'accuracy': 0.7946666666666666}, num_failures: 1110
500: {'accuracy': 0.8026666666666666}, num_failures: 1710
500: {'accuracy': 0.7866666666666666}, num_failures: 842
500: {'accuracy': 0.772}, num_failures: 1429
500: {'accuracy': 0.8053333333333333}, num_failures: 1346
500: {'accuracy': 0.78}, num_failures: 1104
500: {'accuracy': 0.7786666666666666}, num_failures: 1460
500: {'accuracy': 0.7933333333333333}, num_failures: 1417
500: {'accuracy': 0.7493333333333333}, num_failures: 1371
500: {'accuracy': 0.7533333333333333}, num_failures: 1530
500: {'accuracy': 0.7693333333333333}, num_failures: 1407
500: {'accuracy': 0.764}, num_failures: 1024
500: {'accuracy': 0.7693333333333333}, num_failures: 1020
500: {'accuracy': 0.8973333333333333}, num_failures: 1003
500: {'accuracy': 0.7693333333333333}, num_failures: 1319
500: {'accuracy': 0.7906666666666666}, num_failures: 1210
500: {'accuracy': 0.7346666666666667}, num_failures: 1122
