500: {'accuracy': 0.7746666666666666}, num_failures: 112
500: {'accuracy': 0.7506666666666667}, num_failures: 144
500: {'accuracy': 0.924}, num_failures: 116
500: {'accuracy': 0.784}, num_failures: 86
500: {'accuracy': 0.908}, num_failures: 132
500: {'accuracy': 0.7693333333333333}, num_failures: 156
500: {'accuracy': 0.7413333333333333}, num_failures: 105
500: {'accuracy': 0.9306666666666666}, num_failures: 180
500: {'accuracy': 0.7733333333333333}, num_failures: 125
500: {'accuracy': 0.756}, num_failures: 105
500: {'accuracy': 0.9253333333333333}, num_failures: 156
500: {'accuracy': 0.9546666666666667}, num_failures: 87
500: {'accuracy': 0.7826666666666666}, num_failures: 94
500: {'accuracy': 0.7706666666666667}, num_failures: 138
500: {'accuracy': 0.8133333333333334}, num_failures: 158
500: {'accuracy': 0.8826666666666667}, num_failures: 79
500: {'accuracy': 0.7573333333333333}, num_failures: 145
500: {'accuracy': 0.744}, num_failures: 86
500: {'accuracy': 0.7346666666666667}, num_failures: 105
500: {'accuracy': 0.9586666666666667}, num_failures: 198
500: {'accuracy': 0.8013333333333333}, num_failures: 130
500: {'accuracy': 0.9506666666666667}, num_failures: 158
500: {'accuracy': 0.7933333333333333}, num_failures: 68
500: {'accuracy': 0.7866666666666666}, num_failures: 201
500: {'accuracy': 0.7533333333333333}, num_failures: 135
500: {'accuracy': 0.7493333333333333}, num_failures: 162
500: {'accuracy': 0.7346666666666667}, num_failures: 173
500: {'accuracy': 0.7866666666666666}, num_failures: 137
500: {'accuracy': 0.7613333333333333}, num_failures: 157
500: {'accuracy': 0.7786666666666666}, num_failures: 193
500: {'accuracy': 0.7706666666666667}, num_failures: 154
500: {'accuracy': 0.9333333333333333}, num_failures: 120
500: {'accuracy': 0.7733333333333333}, num_failures: 123
500: {'accuracy': 0.7493333333333333}, num_failures: 76
500: {'accuracy': 0.7653333333333333}, num_failures: 144
500: {'accuracy': 0.772}, num_failures: 135
500: {'accuracy': 0.7413333333333333}, num_failures: 114
