500: {'accuracy': 0.748}, num_failures: 0
500: {'accuracy': 0.9006666666666666}, num_failures: 0
500: {'accuracy': 0.7668571428571429}, num_failures: 0
500: {'accuracy': 0.7533333333333333}, num_failures: 0
500: {'accuracy': 0.9102857142857143}, num_failures: 0
500: {'accuracy': 0.7666666666666667}, num_failures: 0
500: {'accuracy': 0.9125714285714286}, num_failures: 0
500: {'accuracy': 0.7753333333333333}, num_failures: 0
500: {'accuracy': 0.7906666666666666}, num_failures: 0
500: {'accuracy': 0.948}, num_failures: 0
500: {'accuracy': 0.958}, num_failures: 0
500: {'accuracy': 0.7666666666666667}, num_failures: 0
500: {'accuracy': 0.776}, num_failures: 0
500: {'accuracy': 0.946}, num_failures: 0
500: {'accuracy': 0.7646666666666667}, num_failures: 0
500: {'accuracy': 0.774}, num_failures: 0
500: {'accuracy': 0.7773333333333333}, num_failures: 0
500: {'accuracy': 0.7733333333333333}, num_failures: 0
500: {'accuracy': 0.7893333333333333}, num_failures: 0
500: {'accuracy': 0.774}, num_failures: 0
500: {'accuracy': 0.7766666666666666}, num_failures: 0
500: {'accuracy': 0.9533333333333334}, num_failures: 0
500: {'accuracy': 0.9133333333333333}, num_failures: 0
500: {'accuracy': 0.7686666666666667}, num_failures: 0
500: {'accuracy': 0.7853333333333333}, num_failures: 0
500: {'accuracy': 0.962}, num_failures: 0
500: {'accuracy': 0.7566666666666667}, num_failures: 0
500: {'accuracy': 0.958}, num_failures: 0
500: {'accuracy': 0.7813333333333333}, num_failures: 0
500: {'accuracy': 0.9573333333333334}, num_failures: 0
