500: {'accuracy': 0.7856}, num_failures: 0
500: {'accuracy': 0.9568}, num_failures: 0
500: {'accuracy': 0.9288}, num_failures: 0
500: {'accuracy': 0.9648}, num_failures: 0
500: {'accuracy': 0.7704}, num_failures: 0
500: {'accuracy': 0.9248}, num_failures: 0
500: {'accuracy': 0.7456}, num_failures: 0
500: {'accuracy': 0.772}, num_failures: 0
500: {'accuracy': 0.7704}, num_failures: 0
500: {'accuracy': 0.9104}, num_failures: 0
500: {'accuracy': 0.7648}, num_failures: 0
500: {'accuracy': 0.7832}, num_failures: 0
500: {'accuracy': 0.7376}, num_failures: 0
500: {'accuracy': 0.9216}, num_failures: 0
500: {'accuracy': 0.9272}, num_failures: 0
500: {'accuracy': 0.7608}, num_failures: 0
500: {'accuracy': 0.7632}, num_failures: 0
500: {'accuracy': 0.7488}, num_failures: 0
500: {'accuracy': 0.7752}, num_failures: 0
500: {'accuracy': 0.764}, num_failures: 0
500: {'accuracy': 0.9568}, num_failures: 0
500: {'accuracy': 0.7528}, num_failures: 0
500: {'accuracy': 0.924}, num_failures: 0
500: {'accuracy': 0.8992}, num_failures: 0
500: {'accuracy': 0.9096}, num_failures: 0
500: {'accuracy': 0.9128}, num_failures: 0
500: {'accuracy': 0.9552}, num_failures: 0
500: {'accuracy': 0.9632}, num_failures: 0
500: {'accuracy': 0.7552}, num_failures: 0
500: {'accuracy': 0.7608}, num_failures: 0
500: {'accuracy': 0.7888}, num_failures: 0
500: {'accuracy': 0.9064}, num_failures: 0
500: {'accuracy': 0.7392}, num_failures: 0
500: {'accuracy': 0.7608}, num_failures: 0
500: {'accuracy': 0.7488}, num_failures: 0
500: {'accuracy': 0.7472}, num_failures: 0
500: {'accuracy': 0.7816}, num_failures: 0
500: {'accuracy': 0.7632}, num_failures: 0
500: {'accuracy': 0.764}, num_failures: 0
500: {'accuracy': 0.792}, num_failures: 0
500: {'accuracy': 0.7688}, num_failures: 0
500: {'accuracy': 0.9232}, num_failures: 0
500: {'accuracy': 0.9528}, num_failures: 0
500: {'accuracy': 0.9632}, num_failures: 0
500: {'accuracy': 0.7648}, num_failures: 0
500: {'accuracy': 0.7992}, num_failures: 0
500: {'accuracy': 0.78}, num_failures: 0
500: {'accuracy': 0.8904}, num_failures: 0
500: {'accuracy': 0.7848}, num_failures: 0
500: {'accuracy': 0.9072}, num_failures: 0
500: {'accuracy': 0.7584}, num_failures: 0
500: {'accuracy': 0.7608}, num_failures: 0
