500: {'accuracy': 0.912}, num_failures: 0
500: {'accuracy': 0.736}, num_failures: 0
500: {'accuracy': 0.898}, num_failures: 0
500: {'accuracy': 0.914}, num_failures: 0
500: {'accuracy': 0.734}, num_failures: 0
500: {'accuracy': 0.964}, num_failures: 0
500: {'accuracy': 0.948}, num_failures: 0
500: {'accuracy': 0.734}, num_failures: 0
500: {'accuracy': 0.736}, num_failures: 0
500: {'accuracy': 0.752}, num_failures: 0
500: {'accuracy': 0.764}, num_failures: 0
500: {'accuracy': 0.732}, num_failures: 0
500: {'accuracy': 0.774}, num_failures: 0
500: {'accuracy': 0.766}, num_failures: 0
500: {'accuracy': 0.914}, num_failures: 0
500: {'accuracy': 0.778}, num_failures: 0
500: {'accuracy': 0.772}, num_failures: 0
500: {'accuracy': 0.774}, num_failures: 0
500: {'accuracy': 0.918}, num_failures: 0
500: {'accuracy': 0.778}, num_failures: 0
500: {'accuracy': 0.738}, num_failures: 0
500: {'accuracy': 0.744}, num_failures: 0
500: {'accuracy': 0.784}, num_failures: 0
500: {'accuracy': 0.782}, num_failures: 0
500: {'accuracy': 0.904}, num_failures: 0
500: {'accuracy': 0.758}, num_failures: 0
500: {'accuracy': 0.758}, num_failures: 0
500: {'accuracy': 0.784}, num_failures: 0
500: {'accuracy': 0.786}, num_failures: 0
500: {'accuracy': 0.944}, num_failures: 0
500: {'accuracy': 0.77}, num_failures: 0
500: {'accuracy': 0.956}, num_failures: 0
500: {'accuracy': 0.882}, num_failures: 0
500: {'accuracy': 0.78}, num_failures: 0
500: {'accuracy': 0.802}, num_failures: 0
500: {'accuracy': 0.906}, num_failures: 0
500: {'accuracy': 0.752}, num_failures: 0
500: {'accuracy': 0.692}, num_failures: 0
500: {'accuracy': 0.91}, num_failures: 0
500: {'accuracy': 0.79}, num_failures: 0
500: {'accuracy': 0.776}, num_failures: 0
500: {'accuracy': 0.924}, num_failures: 0
500: {'accuracy': 0.794}, num_failures: 0
500: {'accuracy': 0.776}, num_failures: 0
500: {'accuracy': 0.766}, num_failures: 0
500: {'accuracy': 0.766}, num_failures: 0
500: {'accuracy': 0.766}, num_failures: 0
500: {'accuracy': 0.748}, num_failures: 0
500: {'accuracy': 0.956}, num_failures: 0
500: {'accuracy': 0.748}, num_failures: 0
500: {'accuracy': 0.796}, num_failures: 0
500: {'accuracy': 0.788}, num_failures: 0
500: {'accuracy': 0.886}, num_failures: 0
500: {'accuracy': 0.956}, num_failures: 0
500: {'accuracy': 0.924}, num_failures: 0
500: {'accuracy': 0.766}, num_failures: 0
500: {'accuracy': 0.93}, num_failures: 0
500: {'accuracy': 0.926}, num_failures: 0
500: {'accuracy': 0.794}, num_failures: 0
500: {'accuracy': 0.728}, num_failures: 0
500: {'accuracy': 0.932}, num_failures: 0
500: {'accuracy': 0.932}, num_failures: 0
500: {'accuracy': 0.76}, num_failures: 0
500: {'accuracy': 0.73}, num_failures: 0
500: {'accuracy': 0.92}, num_failures: 0
500: {'accuracy': 0.728}, num_failures: 0
500: {'accuracy': 0.812}, num_failures: 0
500: {'accuracy': 0.948}, num_failures: 0
500: {'accuracy': 0.788}, num_failures: 0
500: {'accuracy': 0.746}, num_failures: 0
500: {'accuracy': 0.772}, num_failures: 0
500: {'accuracy': 0.8}, num_failures: 0
500: {'accuracy': 0.926}, num_failures: 0
500: {'accuracy': 0.754}, num_failures: 0
500: {'accuracy': 0.778}, num_failures: 0
500: {'accuracy': 0.77}, num_failures: 0
500: {'accuracy': 0.766}, num_failures: 0
500: {'accuracy': 0.966}, num_failures: 0
500: {'accuracy': 0.896}, num_failures: 0
500: {'accuracy': 0.772}, num_failures: 0
500: {'accuracy': 0.804}, num_failures: 0
500: {'accuracy': 0.772}, num_failures: 0
500: {'accuracy': 0.706}, num_failures: 0
500: {'accuracy': 0.926}, num_failures: 0
500: {'accuracy': 0.754}, num_failures: 0
500: {'accuracy': 0.818}, num_failures: 0
500: {'accuracy': 0.77}, num_failures: 0
