500: {'accuracy': 0.77}, num_failures: 0
500: {'accuracy': 0.773}, num_failures: 0
500: {'accuracy': 0.7395}, num_failures: 0
500: {'accuracy': 0.7855}, num_failures: 0
500: {'accuracy': 0.7505}, num_failures: 0
500: {'accuracy': 0.92}, num_failures: 0
500: {'accuracy': 0.909}, num_failures: 0
500: {'accuracy': 0.9585}, num_failures: 0
500: {'accuracy': 0.783}, num_failures: 0
500: {'accuracy': 0.7535}, num_failures: 0
500: {'accuracy': 0.903}, num_failures: 0
500: {'accuracy': 0.9193333333333333}, num_failures: 0
500: {'accuracy': 0.9306666666666666}, num_failures: 0
500: {'accuracy': 0.758}, num_failures: 0
500: {'accuracy': 0.7688888888888888}, num_failures: 0
500: {'accuracy': 0.7793333333333333}, num_failures: 0
500: {'accuracy': 0.7595555555555555}, num_failures: 0
500: {'accuracy': 0.9046666666666666}, num_failures: 0
500: {'accuracy': 0.958}, num_failures: 0
500: {'accuracy': 0.775}, num_failures: 0
500: {'accuracy': 0.9445}, num_failures: 0
500: {'accuracy': 0.7865}, num_failures: 0
500: {'accuracy': 0.7495}, num_failures: 0
500: {'accuracy': 0.767}, num_failures: 0
500: {'accuracy': 0.909}, num_failures: 0
500: {'accuracy': 0.909}, num_failures: 0
500: {'accuracy': 0.7645}, num_failures: 0
500: {'accuracy': 0.9505}, num_failures: 0
500: {'accuracy': 0.947}, num_failures: 0
500: {'accuracy': 0.7635}, num_failures: 0
500: {'accuracy': 0.7515}, num_failures: 0
500: {'accuracy': 0.759}, num_failures: 0
500: {'accuracy': 0.922}, num_failures: 0
500: {'accuracy': 0.7745}, num_failures: 0
500: {'accuracy': 0.9205}, num_failures: 0
500: {'accuracy': 0.785}, num_failures: 0
500: {'accuracy': 0.755}, num_failures: 0
500: {'accuracy': 0.7515}, num_failures: 0
500: {'accuracy': 0.763}, num_failures: 0
500: {'accuracy': 0.753}, num_failures: 0
500: {'accuracy': 0.767}, num_failures: 0
