500: {'accuracy': 0.7675}, num_failures: 0
500: {'accuracy': 0.771}, num_failures: 0
500: {'accuracy': 0.7515}, num_failures: 0
500: {'accuracy': 0.749}, num_failures: 0
500: {'accuracy': 0.785}, num_failures: 0
500: {'accuracy': 0.9475}, num_failures: 0
500: {'accuracy': 0.784}, num_failures: 0
500: {'accuracy': 0.7785}, num_failures: 0
500: {'accuracy': 0.7655}, num_failures: 0
500: {'accuracy': 0.762}, num_failures: 0
500: {'accuracy': 0.7575}, num_failures: 0
500: {'accuracy': 0.922}, num_failures: 0
500: {'accuracy': 0.929}, num_failures: 0
