500: {'accuracy': 0.9395555555555556}, num_failures: 0
500: {'accuracy': 0.7844444444444445}, num_failures: 0
500: {'accuracy': 0.764}, num_failures: 0
500: {'accuracy': 0.9133333333333333}, num_failures: 0
500: {'accuracy': 0.7733333333333333}, num_failures: 0
500: {'accuracy': 0.7822222222222223}, num_failures: 0
500: {'accuracy': 0.7546666666666667}, num_failures: 0
500: {'accuracy': 0.9275555555555556}, num_failures: 0
500: {'accuracy': 0.768}, num_failures: 0
500: {'accuracy': 0.9102222222222223}, num_failures: 0
500: {'accuracy': 0.9182222222222223}, num_failures: 0
500: {'accuracy': 0.9031111111111111}, num_failures: 0
500: {'accuracy': 0.94}, num_failures: 0
500: {'accuracy': 0.9488888888888889}, num_failures: 0
500: {'accuracy': 0.9053333333333333}, num_failures: 0
500: {'accuracy': 0.7693333333333333}, num_failures: 0
500: {'accuracy': 0.7515555555555555}, num_failures: 0
500: {'accuracy': 0.9186666666666666}, num_failures: 0
500: {'accuracy': 0.7586666666666667}, num_failures: 0
500: {'accuracy': 0.9555555555555556}, num_failures: 0
500: {'accuracy': 0.7777777777777778}, num_failures: 0
500: {'accuracy': 0.7795555555555556}, num_failures: 0
500: {'accuracy': 0.7946666666666666}, num_failures: 0
500: {'accuracy': 0.9542222222222222}, num_failures: 0
500: {'accuracy': 0.9653333333333334}, num_failures: 0
500: {'accuracy': 0.9085714285714286}, num_failures: 0
500: {'accuracy': 0.7751111111111111}, num_failures: 0
500: {'accuracy': 0.7737777777777778}, num_failures: 0
500: {'accuracy': 0.9008888888888889}, num_failures: 0
500: {'accuracy': 0.7573333333333333}, num_failures: 0
500: {'accuracy': 0.7751111111111111}, num_failures: 0
500: {'accuracy': 0.756}, num_failures: 0
500: {'accuracy': 0.7582222222222222}, num_failures: 0
500: {'accuracy': 0.7702222222222223}, num_failures: 0
500: {'accuracy': 0.7657777777777778}, num_failures: 0
500: {'accuracy': 0.9551111111111111}, num_failures: 0
500: {'accuracy': 0.7706666666666667}, num_failures: 0
500: {'accuracy': 0.9217777777777778}, num_failures: 0
500: {'accuracy': 0.7528888888888889}, num_failures: 0
500: {'accuracy': 0.7368888888888889}, num_failures: 0
500: {'accuracy': 0.7626666666666667}, num_failures: 0
500: {'accuracy': 0.7831111111111111}, num_failures: 0
500: {'accuracy': 0.7773333333333333}, num_failures: 0
500: {'accuracy': 0.9173333333333333}, num_failures: 0
500: {'accuracy': 0.9582222222222222}, num_failures: 0
500: {'accuracy': 0.7755555555555556}, num_failures: 0
500: {'accuracy': 0.768}, num_failures: 0
500: {'accuracy': 0.7706666666666667}, num_failures: 0
500: {'accuracy': 0.92}, num_failures: 0
500: {'accuracy': 0.9195555555555556}, num_failures: 0
500: {'accuracy': 0.9213333333333333}, num_failures: 0
500: {'accuracy': 0.7471111111111111}, num_failures: 0
500: {'accuracy': 0.9564444444444444}, num_failures: 0
