500: {'accuracy': 0.884}, num_failures: 0
500: {'accuracy': 0.88}, num_failures: 0
500: {'accuracy': 0.928}, num_failures: 0
500: {'accuracy': 0.756}, num_failures: 0
500: {'accuracy': 0.74}, num_failures: 0
500: {'accuracy': 0.808}, num_failures: 0
500: {'accuracy': 0.872}, num_failures: 0
500: {'accuracy': 0.76}, num_failures: 0
500: {'accuracy': 0.9}, num_failures: 0
500: {'accuracy': 0.736}, num_failures: 0
500: {'accuracy': 0.928}, num_failures: 0
500: {'accuracy': 0.76}, num_failures: 0
500: {'accuracy': 0.904}, num_failures: 0
500: {'accuracy': 0.78}, num_failures: 0
500: {'accuracy': 0.776}, num_failures: 0
500: {'accuracy': 0.756}, num_failures: 0
500: {'accuracy': 0.772}, num_failures: 0
500: {'accuracy': 0.76}, num_failures: 0
500: {'accuracy': 0.768}, num_failures: 0
500: {'accuracy': 0.824}, num_failures: 0
500: {'accuracy': 0.784}, num_failures: 0
500: {'accuracy': 0.796}, num_failures: 0
500: {'accuracy': 0.8}, num_failures: 0
500: {'accuracy': 0.732}, num_failures: 0
500: {'accuracy': 0.78}, num_failures: 0
500: {'accuracy': 0.736}, num_failures: 0
500: {'accuracy': 0.72}, num_failures: 0
500: {'accuracy': 0.8}, num_failures: 0
500: {'accuracy': 0.804}, num_failures: 0
500: {'accuracy': 0.784}, num_failures: 0
500: {'accuracy': 0.732}, num_failures: 0
500: {'accuracy': 0.964}, num_failures: 0
500: {'accuracy': 0.832}, num_failures: 0
500: {'accuracy': 0.956}, num_failures: 0
500: {'accuracy': 0.776}, num_failures: 0
500: {'accuracy': 0.756}, num_failures: 0
500: {'accuracy': 0.796}, num_failures: 0
500: {'accuracy': 0.976}, num_failures: 0
500: {'accuracy': 0.74}, num_failures: 0
500: {'accuracy': 0.752}, num_failures: 0
500: {'accuracy': 0.904}, num_failures: 0
500: {'accuracy': 0.908}, num_failures: 0
500: {'accuracy': 0.756}, num_failures: 0
500: {'accuracy': 0.74}, num_failures: 0
500: {'accuracy': 0.78}, num_failures: 0
500: {'accuracy': 0.82}, num_failures: 0
500: {'accuracy': 0.948}, num_failures: 0
500: {'accuracy': 0.78}, num_failures: 0
500: {'accuracy': 0.812}, num_failures: 0
500: {'accuracy': 0.756}, num_failures: 0
500: {'accuracy': 0.94}, num_failures: 0
500: {'accuracy': 0.812}, num_failures: 0
500: {'accuracy': 0.792}, num_failures: 0
500: {'accuracy': 0.78}, num_failures: 0
500: {'accuracy': 0.852}, num_failures: 0
500: {'accuracy': 0.796}, num_failures: 0
500: {'accuracy': 0.764}, num_failures: 0
500: {'accuracy': 0.924}, num_failures: 0
500: {'accuracy': 0.812}, num_failures: 0
500: {'accuracy': 0.752}, num_failures: 0
500: {'accuracy': 0.96}, num_failures: 0
500: {'accuracy': 0.76}, num_failures: 0
500: {'accuracy': 0.944}, num_failures: 0
500: {'accuracy': 0.868}, num_failures: 0
500: {'accuracy': 0.744}, num_failures: 0
500: {'accuracy': 0.788}, num_failures: 0
500: {'accuracy': 0.792}, num_failures: 0
500: {'accuracy': 0.764}, num_failures: 0
500: {'accuracy': 0.924}, num_failures: 0
500: {'accuracy': 0.736}, num_failures: 0
500: {'accuracy': 0.816}, num_failures: 0
500: {'accuracy': 0.864}, num_failures: 0
500: {'accuracy': 0.776}, num_failures: 0
500: {'accuracy': 0.744}, num_failures: 0
