500: {'accuracy': 0.7666666666666667}, num_failures: 0
500: {'accuracy': 0.9613333333333334}, num_failures: 0
500: {'accuracy': 0.916}, num_failures: 0
500: {'accuracy': 0.788}, num_failures: 0
500: {'accuracy': 0.76}, num_failures: 0
500: {'accuracy': 0.8786666666666667}, num_failures: 0
500: {'accuracy': 0.9506666666666667}, num_failures: 0
500: {'accuracy': 0.7586666666666667}, num_failures: 0
500: {'accuracy': 0.7346666666666667}, num_failures: 0
500: {'accuracy': 0.9}, num_failures: 0
500: {'accuracy': 0.8106666666666666}, num_failures: 0
500: {'accuracy': 0.8773333333333333}, num_failures: 0
500: {'accuracy': 0.9546666666666667}, num_failures: 0
500: {'accuracy': 0.736}, num_failures: 0
500: {'accuracy': 0.9053333333333333}, num_failures: 0
500: {'accuracy': 0.9226666666666666}, num_failures: 0
500: {'accuracy': 0.7986666666666666}, num_failures: 0
500: {'accuracy': 0.7786666666666666}, num_failures: 0
500: {'accuracy': 0.764}, num_failures: 0
500: {'accuracy': 0.7533333333333333}, num_failures: 0
500: {'accuracy': 0.7813333333333333}, num_failures: 0
500: {'accuracy': 0.7933333333333333}, num_failures: 0
500: {'accuracy': 0.7706666666666667}, num_failures: 0
500: {'accuracy': 0.928}, num_failures: 0
500: {'accuracy': 0.8093333333333333}, num_failures: 0
500: {'accuracy': 0.896}, num_failures: 0
500: {'accuracy': 0.776}, num_failures: 0
500: {'accuracy': 0.792}, num_failures: 0
500: {'accuracy': 0.7653333333333333}, num_failures: 0
500: {'accuracy': 0.7706666666666667}, num_failures: 0
500: {'accuracy': 0.7906666666666666}, num_failures: 0
500: {'accuracy': 0.7706666666666667}, num_failures: 0
500: {'accuracy': 0.748}, num_failures: 0
500: {'accuracy': 0.7613333333333333}, num_failures: 0
500: {'accuracy': 0.9346666666666666}, num_failures: 0
500: {'accuracy': 0.916}, num_failures: 0
500: {'accuracy': 0.8813333333333333}, num_failures: 0
500: {'accuracy': 0.908}, num_failures: 0
500: {'accuracy': 0.908}, num_failures: 0
500: {'accuracy': 0.7653333333333333}, num_failures: 0
500: {'accuracy': 0.7786666666666666}, num_failures: 0
500: {'accuracy': 0.8093333333333333}, num_failures: 0
500: {'accuracy': 0.7573333333333333}, num_failures: 0
500: {'accuracy': 0.748}, num_failures: 0
500: {'accuracy': 0.7533333333333333}, num_failures: 0
500: {'accuracy': 0.9333333333333333}, num_failures: 0
500: {'accuracy': 0.78}, num_failures: 0
500: {'accuracy': 0.9586666666666667}, num_failures: 0
500: {'accuracy': 0.7533333333333333}, num_failures: 0
500: {'accuracy': 0.8853333333333333}, num_failures: 0
500: {'accuracy': 0.7893333333333333}, num_failures: 0
