500: {'accuracy': 0.764}, num_failures: 0
500: {'accuracy': 0.956}, num_failures: 0
500: {'accuracy': 0.91}, num_failures: 0
500: {'accuracy': 0.9}, num_failures: 0
500: {'accuracy': 0.74}, num_failures: 0
500: {'accuracy': 0.782}, num_failures: 0
500: {'accuracy': 0.7}, num_failures: 0
500: {'accuracy': 0.744}, num_failures: 0
500: {'accuracy': 0.796}, num_failures: 0
500: {'accuracy': 0.892}, num_failures: 0
500: {'accuracy': 0.75}, num_failures: 0
500: {'accuracy': 0.746}, num_failures: 0
500: {'accuracy': 0.75}, num_failures: 0
500: {'accuracy': 0.72}, num_failures: 0
500: {'accuracy': 0.794}, num_failures: 0
500: {'accuracy': 0.79}, num_failures: 0
500: {'accuracy': 0.752}, num_failures: 0
500: {'accuracy': 0.788}, num_failures: 0
500: {'accuracy': 0.922}, num_failures: 0
500: {'accuracy': 0.776}, num_failures: 0
500: {'accuracy': 0.926}, num_failures: 0
500: {'accuracy': 0.79}, num_failures: 0
500: {'accuracy': 0.768}, num_failures: 0
500: {'accuracy': 0.948}, num_failures: 0
500: {'accuracy': 0.804}, num_failures: 0
500: {'accuracy': 0.924}, num_failures: 0
500: {'accuracy': 0.776}, num_failures: 0
500: {'accuracy': 0.772}, num_failures: 0
500: {'accuracy': 0.766}, num_failures: 0
500: {'accuracy': 0.812}, num_failures: 0
500: {'accuracy': 0.918}, num_failures: 0
500: {'accuracy': 0.728}, num_failures: 0
500: {'accuracy': 0.778}, num_failures: 0
500: {'accuracy': 0.762}, num_failures: 0
500: {'accuracy': 0.908}, num_failures: 0
500: {'accuracy': 0.814}, num_failures: 0
500: {'accuracy': 0.806}, num_failures: 0
500: {'accuracy': 0.766}, num_failures: 0
500: {'accuracy': 0.766}, num_failures: 0
500: {'accuracy': 0.724}, num_failures: 0
500: {'accuracy': 0.93}, num_failures: 0
500: {'accuracy': 0.776}, num_failures: 0
500: {'accuracy': 0.75}, num_failures: 0
500: {'accuracy': 0.744}, num_failures: 0
500: {'accuracy': 0.802}, num_failures: 0
500: {'accuracy': 0.75}, num_failures: 0
500: {'accuracy': 0.782}, num_failures: 0
500: {'accuracy': 0.958}, num_failures: 0
500: {'accuracy': 0.954}, num_failures: 0
500: {'accuracy': 0.736}, num_failures: 0
500: {'accuracy': 0.784}, num_failures: 0
500: {'accuracy': 0.796}, num_failures: 0
500: {'accuracy': 0.922}, num_failures: 0
500: {'accuracy': 0.916}, num_failures: 0
500: {'accuracy': 0.74}, num_failures: 0
500: {'accuracy': 0.964}, num_failures: 0
500: {'accuracy': 0.786}, num_failures: 0
500: {'accuracy': 0.762}, num_failures: 0
500: {'accuracy': 0.902}, num_failures: 0
500: {'accuracy': 0.71}, num_failures: 0
500: {'accuracy': 0.802}, num_failures: 0
500: {'accuracy': 0.734}, num_failures: 0
500: {'accuracy': 0.958}, num_failures: 0
500: {'accuracy': 0.776}, num_failures: 0
500: {'accuracy': 0.772}, num_failures: 0
500: {'accuracy': 0.946}, num_failures: 0
500: {'accuracy': 0.776}, num_failures: 0
500: {'accuracy': 0.922}, num_failures: 0
500: {'accuracy': 0.774}, num_failures: 0
500: {'accuracy': 0.772}, num_failures: 0
500: {'accuracy': 0.926}, num_failures: 0
500: {'accuracy': 0.882}, num_failures: 0
500: {'accuracy': 0.78}, num_failures: 0
500: {'accuracy': 0.78}, num_failures: 0
500: {'accuracy': 0.956}, num_failures: 0
