500: {'accuracy': 0.7686666666666667}, num_failures: 3106
500: {'accuracy': 0.7746666666666666}, num_failures: 3283
500: {'accuracy': 0.906}, num_failures: 2693
500: {'accuracy': 0.758}, num_failures: 2562
500: {'accuracy': 0.7706666666666667}, num_failures: 2158
500: {'accuracy': 0.7913333333333333}, num_failures: 2533
500: {'accuracy': 0.914}, num_failures: 3169
500: {'accuracy': 0.9553333333333334}, num_failures: 3057
500: {'accuracy': 0.7933333333333333}, num_failures: 3025
500: {'accuracy': 0.792}, num_failures: 2964
500: {'accuracy': 0.7653333333333333}, num_failures: 2662
500: {'accuracy': 0.792}, num_failures: 3049
500: {'accuracy': 0.91}, num_failures: 3383
500: {'accuracy': 0.76}, num_failures: 2903
500: {'accuracy': 0.9273333333333333}, num_failures: 2880
500: {'accuracy': 0.7866666666666666}, num_failures: 3240
500: {'accuracy': 0.7666666666666667}, num_failures: 2954
500: {'accuracy': 0.95}, num_failures: 3083
500: {'accuracy': 0.9173333333333333}, num_failures: 2924
