500: {'accuracy': 0.776}, num_failures: 12501
500: {'accuracy': 0.7866666666666666}, num_failures: 12610
500: {'accuracy': 0.9253333333333333}, num_failures: 11149
500: {'accuracy': 0.9686666666666667}, num_failures: 10639
500: {'accuracy': 0.9593333333333334}, num_failures: 10972
500: {'accuracy': 0.9033333333333333}, num_failures: 10692
500: {'accuracy': 0.7513333333333333}, num_failures: 10997
500: {'accuracy': 0.7753333333333333}, num_failures: 12809
500: {'accuracy': 0.7526666666666667}, num_failures: 11401
500: {'accuracy': 0.7906666666666666}, num_failures: 11398
500: {'accuracy': 0.7726666666666666}, num_failures: 10229
500: {'accuracy': 0.7933333333333333}, num_failures: 11543
500: {'accuracy': 0.78}, num_failures: 11927
500: {'accuracy': 0.764}, num_failures: 10332
500: {'accuracy': 0.9133333333333333}, num_failures: 12396
500: {'accuracy': 0.7913333333333333}, num_failures: 12027
500: {'accuracy': 0.7846666666666666}, num_failures: 11725
500: {'accuracy': 0.8973333333333333}, num_failures: 12723
500: {'accuracy': 0.918}, num_failures: 12037
