500: {'accuracy': 0.7793333333333333}, num_failures: 7083
500: {'accuracy': 0.7633333333333333}, num_failures: 7472
500: {'accuracy': 0.772}, num_failures: 6370
500: {'accuracy': 0.7726666666666666}, num_failures: 6126
500: {'accuracy': 0.7453333333333333}, num_failures: 5265
500: {'accuracy': 0.7746666666666666}, num_failures: 5997
500: {'accuracy': 0.9313333333333333}, num_failures: 7059
500: {'accuracy': 0.792}, num_failures: 7054
500: {'accuracy': 0.7693333333333333}, num_failures: 6926
500: {'accuracy': 0.9226666666666666}, num_failures: 6237
500: {'accuracy': 0.758}, num_failures: 6236
500: {'accuracy': 0.9346666666666666}, num_failures: 7022
500: {'accuracy': 0.924}, num_failures: 7378
500: {'accuracy': 0.9193333333333333}, num_failures: 6741
500: {'accuracy': 0.7826666666666666}, num_failures: 6321
500: {'accuracy': 0.7826666666666666}, num_failures: 7216
