500: {'accuracy': 0.758}, num_failures: 3177
500: {'accuracy': 0.776}, num_failures: 3213
500: {'accuracy': 0.902}, num_failures: 2751
500: {'accuracy': 0.9153333333333333}, num_failures: 2680
500: {'accuracy': 0.7453333333333333}, num_failures: 2328
500: {'accuracy': 0.9013333333333333}, num_failures: 2666
500: {'accuracy': 0.9153333333333333}, num_failures: 3213
500: {'accuracy': 0.776}, num_failures: 3113
500: {'accuracy': 0.9233333333333333}, num_failures: 2734
500: {'accuracy': 0.9186666666666666}, num_failures: 3296
500: {'accuracy': 0.764}, num_failures: 2645
500: {'accuracy': 0.8}, num_failures: 3166
500: {'accuracy': 0.77}, num_failures: 3227
500: {'accuracy': 0.7713333333333333}, num_failures: 2912
500: {'accuracy': 0.7726666666666666}, num_failures: 3113
500: {'accuracy': 0.926}, num_failures: 3216
500: {'accuracy': 0.9106666666666666}, num_failures: 3000
500: {'accuracy': 0.7533333333333333}, num_failures: 3280
500: {'accuracy': 0.7846666666666666}, num_failures: 3215
