500: {'accuracy': 0.9093333333333333}, num_failures: 1052
500: {'accuracy': 0.92}, num_failures: 1159
500: {'accuracy': 0.9173333333333333}, num_failures: 942
500: {'accuracy': 0.768}, num_failures: 958
500: {'accuracy': 0.904}, num_failures: 740
500: {'accuracy': 0.772}, num_failures: 870
500: {'accuracy': 0.752}, num_failures: 1177
500: {'accuracy': 0.7926666666666666}, num_failures: 1066
500: {'accuracy': 0.7766666666666666}, num_failures: 969
500: {'accuracy': 0.9213333333333333}, num_failures: 1091
500: {'accuracy': 0.934}, num_failures: 834
500: {'accuracy': 0.95}, num_failures: 1088
500: {'accuracy': 0.7926666666666666}, num_failures: 1152
500: {'accuracy': 0.7806666666666666}, num_failures: 1035
500: {'accuracy': 0.762}, num_failures: 1075
500: {'accuracy': 0.772}, num_failures: 1277
500: {'accuracy': 0.7826666666666666}, num_failures: 1070
500: {'accuracy': 0.7746666666666666}, num_failures: 1135
500: {'accuracy': 0.932}, num_failures: 1216
