500: {'accuracy': 0.774}, num_failures: 316
500: {'accuracy': 0.7706666666666667}, num_failures: 245
500: {'accuracy': 0.762}, num_failures: 225
500: {'accuracy': 0.942}, num_failures: 260
500: {'accuracy': 0.9513333333333334}, num_failures: 145
500: {'accuracy': 0.9186666666666666}, num_failures: 217
500: {'accuracy': 0.9553333333333334}, num_failures: 277
500: {'accuracy': 0.802}, num_failures: 279
500: {'accuracy': 0.9586666666666667}, num_failures: 242
500: {'accuracy': 0.7786666666666666}, num_failures: 284
500: {'accuracy': 0.948}, num_failures: 240
500: {'accuracy': 0.7953333333333333}, num_failures: 295
500: {'accuracy': 0.778}, num_failures: 328
500: {'accuracy': 0.7746666666666666}, num_failures: 228
500: {'accuracy': 0.912}, num_failures: 294
500: {'accuracy': 0.78}, num_failures: 283
500: {'accuracy': 0.9646666666666667}, num_failures: 228
500: {'accuracy': 0.7693333333333333}, num_failures: 298
